pressure_altitude_ft,isa_deviation_c,rpm,map_in_hg,power_percent,ktas,gph,source_page
14000,0,2600,17.1,60,175,14.1,5-33
14000,30,2600,17.1,57,170,13.5,5-33
14000,-30,2500,17.1,59,171,14.1,5-33
14000,0,2500,17.1,56,171,13.3,5-33
14000,30,2500,17.1,53,165,12.7,5-33
14000,-30,2500,16.1,55,165,13.0,5-33
14000,0,2500,16.1,52,165,12.3,5-33
14000,30,2500,16.1,49,159,11.7,5-33
14000,-30,2500,15.1,50,159,11.9,5-33
14000,0,2500,15.1,47,159,11.2,5-33
14000,30,2500,15.1,45,153,10.7,5-33
16000,-30,2700,15.8,61,176,14.5,5-34
16000,0,2700,15.8,58,176,13.7,5-34
16000,30,2700,15.8,55,171,13.0,5-34
16000,-30,2600,15.8,58,173,13.8,5-34
16000,0,2600,15.8,55,173,13.1,5-34
16000,30,2600,15.8,52,167,12.5,5-34
16000,-30,2500,15.8,55,168,13.0,5-34
16000,0,2500,15.8,52,168,12.3,5-34
16000,30,2500,15.8,49,163,11.7,5-34
16000,-30,2500,14.8,50,162,11.9,5-34
16000,0,2500,14.8,47,162,11.3,5-34
16000,30,2500,14.8,45,156,10.7,5-34
17000,-30,2700,15.2,59,175,13.9,5-34
17000,0,2700,15.2,55,175,13.2,5-34
17000,30,2700,15.2,53,169,12.5,5-34
17000,-30,2600,15.2,56,171,13.3,5-34
17000,0,2600,15.2,53,171,12.6,5-34
17000,30,2600,15.2,50,166,12.0,5-34
17000,-30,2500,15.2,53,167,12.5,5-34
17000,0,2500,15.2,50,167,11.9,5-34
17000,30,2500,15.2,47,162,11.3,5-34
17000,-30,2500,14.2,48,160,11.4,5-34
17000,0,2500,14.2,45,160,10.8,5-34
17000,30,2500,14.2,43,155,10.3,5-34
